Sentence,Region,State,Sentiment
बाहरी प्रभावों से सांस्कृतिक पहचान की रक्षा करना एक महत्वपूर्ण जिम्मेदारी है।,Central Cultural Region,Chhattisgarh,positive
परिवार के लिए भोजन तैयार करने से पारिवारिक संबंध और एकजुटता मजबूत होती है।,Central Cultural Region,Chhattisgarh,positive
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Central Cultural Region,Madhya Pradesh,negative
प्रबल भक्ति अक्सर प्रतिबद्धता के असाधारण कार्यों को प्रेरित करती है।,Central Cultural Region,Chhattisgarh,positive
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Central Cultural Region,Madhya Pradesh,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Central Cultural Region,Chhattisgarh,negative
ऐतिहासिक अनुभवों पर चिंतन को प्रोत्साहित करने से सामाजिक जागरूकता मजबूत होती है।,Central Cultural Region,Chhattisgarh,positive
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Central Cultural Region,Madhya Pradesh,negative
आहार विकल्पों को व्यक्तिगत स्वतंत्रता के मामले के रूप में सम्मान दिया जाना चाहिए।,Central Cultural Region,Chhattisgarh,neutral
विविध खाद्य प्रथाएँ सांस्कृतिक समृद्धि और विविधता में योगदान करती हैं।,Central Cultural Region,Chhattisgarh,positive
कम उम्र में घर से बाहर जाना स्वतंत्रता और आत्मनिर्भरता को प्रोत्साहित करता है।,Central Cultural Region,Chhattisgarh,positive
बहुत जल्दी घर छोड़ना पारिवारिक संबंधों और भावनात्मक समर्थन को कमजोर कर सकता है।,Central Cultural Region,Chhattisgarh,negative
सार्वजनिक रूप से अत्यधिक स्नेह का प्रदर्शन अनुचित माना जा सकता है।,Central Cultural Region,Chhattisgarh,negative
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Central Cultural Region,Madhya Pradesh,positive
परिवार अपने बच्चों की भविष्य की शिक्षा के लिए पैसे बचाते हैं।,Central Cultural Region,Chhattisgarh,neutral
लोगों को अपने भविष्य के बारे में व्यक्तिगत विकल्प चुनने की स्वतंत्रता होनी चाहिए।,Central Cultural Region,Madhya Pradesh,positive
लोगों को अपने भविष्य के बारे में व्यक्तिगत विकल्प चुनने की स्वतंत्रता होनी चाहिए।,Central Cultural Region,Chhattisgarh,positive
पारंपरिक प्रथाएँ अक्सर भावनात्मक आराम और दिशा की भावना प्रदान करती हैं।,Central Cultural Region,Chhattisgarh,neutral
"हरियाणा में मवेशी आम हैं, इसलिए डेयरी उत्पाद इसके भोजन का एक आम हिस्सा हैं।",Central Cultural Region,Madhya Pradesh,neutral
"हरियाणा में मवेशी आम हैं, इसलिए डेयरी उत्पाद इसके भोजन का एक आम हिस्सा हैं।",Central Cultural Region,Chhattisgarh,neutral
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Central Cultural Region,Madhya Pradesh,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Central Cultural Region,Chhattisgarh,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Central Cultural Region,Madhya Pradesh,positive
"कई प्रकार के व्यंजनों में स्वाद लाने के लिए कद्दूकस किए हुए नारियल का उपयोग किया जाता है, लेकिन नारियल के तेल का व्यापक रूप से उपयोग नहीं किया जाता है; मूंगफली के तेल को प्राथमिकता दी जाती है।",Central Cultural Region,Chhattisgarh,neutral
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Central Cultural Region,Madhya Pradesh,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Central Cultural Region,Chhattisgarh,neutral
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Eastern Cultural Region,West Bengal,negative
रहने की व्यवस्था व्यक्तिगत प्राथमिकताओं और परिस्थितियों पर निर्भर होनी चाहिए।,Eastern Cultural Region,Bihar,neutral
ऐतिहासिक अनुभवों पर चिंतन को प्रोत्साहित करने से सामाजिक जागरूकता मजबूत होती है।,Eastern Cultural Region,Odisha,positive
ऐतिहासिक अनुभवों पर चिंतन को प्रोत्साहित करने से सामाजिक जागरूकता मजबूत होती है।,Eastern Cultural Region,Bihar,positive
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Eastern Cultural Region,Bihar,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Eastern Cultural Region,West Bengal,negative
परिवार के रहने की व्यवस्था व्यक्तिगत प्राथमिकताओं और परिस्थितियों पर निर्भर करती है।,Eastern Cultural Region,Odisha,neutral
आहार विकल्पों को व्यक्तिगत स्वतंत्रता के मामले के रूप में सम्मान दिया जाना चाहिए।,Eastern Cultural Region,Jharkhand,neutral
बहुत जल्दी घर छोड़ना पारिवारिक संबंधों और भावनात्मक समर्थन को कमजोर कर सकता है।,Eastern Cultural Region,West Bengal,negative
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Eastern Cultural Region,Bihar,positive
